pmid,year,score,n_chunks,title
40952627,2025,0.5818,1,The Development and Use of Office of New Drugs Custom Medical Queries for Safety Analyses of Clinical Trial Data.
40900408,2025,0.4375,2,Implementation and Results of Active Vaccine Safety Monitoring During the COVID-19 Pandemic in the UK: A Regulatory Perspective.
40835783,2025,0.3063,2,"External Comparator Studies: Performance of Four Missing Data-Handling Approaches, Stratified by Four Different Marginal Estimators."
40762949,2025,0.5249,2,Teratogenic Risk Impact Mitigation (TRIM): Development of Explicit Criteria to Facilitate Decisions Regarding Teratogenic Risk Mitigation Strategies.
40745250,2025,0.2462,3,Epidemiology of Thrombotic Thrombocytopenia Syndrome 2011 to 2022: English Sentinel Network Cohort Studies.
40742669,2025,0.4020,2,Observed Versus Expected Analysis-How Does It Fit in the Pharmacovigilance Toolkit?
40632487,2025,0.3176,2,Real-World Data Insights into Antidepressant Prescription and Adherence During Pregnancy in Catalonia (Spain).
40624327,2025,0.4451,2,Temporal Changes in Reporting of Neurodevelopmental Outcomes After Maternal Exposure to Valproate: A Contribution of the ConcePTION Project.
40608239,2025,0.5088,3,The Effect of Opioid Agonist Treatment on Injection-Related Sequelae: A Population-Based Observational Study.
40601107,2025,0.6558,3,Signals of Adverse Reactions to Herbal Medicines: Evidence and Document Analysis Based on a Scoping Review.
40593291,2025,0.4639,3,Strategies and Challenges in Coding Ambiguous Information Using MedDRA®: An Exploration Among Norwegian Pharmacovigilance Officers.
40588648,2025,0.5540,3,Characteristics of Drug-RElated Hospitalizations for Nursing HOme Residents: Cross-Sectional RENHO Study.
40587039,2025,0.3857,2,Association of GLP1-Receptor Agonists with Risk of Hepatocellular Carcinoma: A Retrospective Cohort Study.
40579658,2025,0.4995,2,Temporal Trends of Anticholinergic Drug Exposure Among Older Adults: A 25-Year Population-Based Study.
40560472,2025,0.3208,2,Sex Differences in Electrolyte Disturbances Among Diuretic Users According to Renal Function and Age.
40549134,2025,0.4854,3,Uncovering Pregnancy Exposures in Pharmacovigilance Case Report Databases: A Comprehensive Evaluation of the VigiBase Pregnancy Algorithm.
40536665,2025,0.4673,2,Identifying New Candidate Predictors of Mortality in Japanese Patients with Severe Drug Eruptions.
40517185,2025,0.5446,2,Reporting Adverse Drug Events: A Comparison of an Online Patient Tool Versus Telephone-Based Monitoring in Community Pharmacy Patients in the Netherlands.
40514582,2025,0.3946,4,Identifying Maternal Conditions Leading to Gabapentinoid Prescriptions in Pregnancy Using Electronic Health Records from Six European Countries: A Contribution from the IMI ConcePTION Project.
40506653,2025,0.3257,2,Investigation of Ochratoxin A and Citrinin Occurrence in Medicinal Herbal Products from the Czech Market.
40495022,2025,0.3742,3,Comparison of Adverse Events in Pregnant Persons Receiving COVID-19 and Influenza Vaccines: A Disproportionality Analysis Using Combined Data from US VAERS and EudraVigilance Spontaneous Report Databases.
40467833,2025,0.4597,2,Large-scale Empirical Identification of Candidate Comparators for Pharmacoepidemiological Studies.
40467832,2025,0.3909,3,An Evaluation of Duplicate Adverse Event Reports Characteristics in the Food and Drug Administration Adverse Event Reporting System.
