Topic,Words,Frequency,Timestamp
-1,"drug, risk, adverse, reporting, patients",32,2015
0,"skin, fusion, atrophy, tkis, safety",7,2015
1,"pregnancy, anomalies, congenital, ca, use",6,2015
2,"vaccine, mmrv, bcg, adjuvant, aefi",4,2015
3,"signal, detection, signals, events, methods",8,2015
5,"hyperglycaemia, diabetes, insulin, hypoglycaemia, induce",4,2015
6,"cem, ncs, programmes, participate, pharmacovigilance",2,2015
7,"liver, hepatotoxicity, sas, tolvaptan, injury",3,2015
8,"95, ci, antidepressants, ssris, domperidone",4,2015
9,"dapt, pci, acs, postacs, coronary",1,2015
11,"hpo, ards, intoxications, opioid, immediaterelease",1,2015
12,"posts, social, media, hpv, rosiglitazonecardiovascular",1,2015
13,"qt, prolongation, cardiac, effect, qtc",3,2015
14,"errors, medication, prescribing, error, misuse",5,2015
17,"herbal, species, products, dna, plant",2,2015
18,"dose, dabigatran, observational, adherence, dosages",1,2015
19,"art, adrs, patients, haart, severe",3,2015
20,"advertising, attorney, fda, actions, prescription",2,2015
22,"consumers, reporting, consumer, regulators, contribute",1,2015
23,"equivalence, generic, productspecific, approved, formal",1,2015
-1,"adverse, studies, risk, drug, use",27,2016
0,"bowel, dpp4, riskbenefit, patients, ild",5,2016
1,"pregnancy, congenital, tofacitinib, prr, monotherapy",3,2016
2,"vaccine, intussusception, vaccination, casepopulation, hospitalizations",4,2016
3,"hf, signal, detection, signals, associations",8,2016
5,"po, fy, vildagliptin, mitochondrial, statin",3,2016
6,"pharmacovigilance, pv, biopharmaceutical, patientcentric, fund",3,2016
7,"liver, dili, injury, patients, causality",6,2016
8,"hypnotics, seizures, antidepressants, anesthesia, 95",3,2016
9,"aspirin, doacs, bleeding, anticoagulants, warfarin",5,2016
10,"adr, agree, reports, information, adrs",7,2016
11,"neuraxial, opioids, effects, analgesia, respiratory",1,2016
12,"social, media, abuse, data, posts",3,2016
13,"qt, heart, qtc, qtqtc, prolongation",2,2016
15,"polypharmacy, appropriate, underprescribing, patients, medicines",1,2016
