topic,count,mean_score,diff_from_overall,keywords
-1,300,0.49084665654127907,0.029965251116716107,(noise)
0,118,0.41630198201012053,-0.04457942341444243,"patients, treatment, events, inhibitors, adverse"
1,78,0.4085599037705816,-0.05232150165398136,"pregnancy, exposure, women, pregnancies, outcomes"
2,75,0.34387620633030946,-0.1170051990942535,"vaccine, covid19, vaccines, vaccination, dose"
3,49,0.4806919644452475,0.019810559020684515,"95, ci, risk, use, antidepressants"
4,48,0.4088157979085685,-0.05206560751599448,"model, learning, machine, pharmacovigilance, performance"
5,44,0.4538762057936838,-0.007005199630879144,"signal, detection, signals, drug, method"
6,42,0.4537146334963762,-0.007166771928186766,"liver, dili, injury, cases, druginduced"
7,37,0.39937650723806384,-0.061504898186499124,"kidney, inhibitors, aki, renal, use"
8,35,0.5850813952757179,0.12419998985115493,"pharmacovigilance, pv, activities, countries, patient"
9,24,0.4502378142616216,-0.010643591162941335,"doacs, warfarin, bleeding, rivaroxaban, dabigatran"
10,23,0.5029960658727142,0.04211466044815121,"opioid, opioids, tramadol, oxycodone, overdose"
11,22,0.4620129107366463,0.0011315053120833363,"social, media, posts, twitter, data"
12,20,0.4072377233709569,-0.053643682053606034,"qt, qtc, prolongation, tdp, interval"
13,19,0.5455435290842596,0.08466212365969666,"admissions, hospital, medicationrelated, adrs, adrrelated"
14,18,0.5518532257951578,0.09097182037059487,"adr, adrs, reporting, drug, reports"
15,15,0.5309945253530863,0.07011311992852337,"app, hcps, reporting, cms, data"
16,15,0.566380894305985,0.10549948888142208,"disproportionality, analyses, subgroup, causal, citing"
17,15,0.5830777083810158,0.12219630295645284,"safety, boxed, fda, information, pils"
18,15,0.5122805586565776,0.05139915323201466,"codeine, pediatric, children, overrides, topiramate"
19,14,0.4903450614138175,0.029463655989254545,"herbal, products, medicinal, species, dna"
20,14,0.4585543073277177,-0.0023270980968452815,"art, patients, hiv, adrs, prep"
21,14,0.38638640543902586,-0.0744949999855371,"iron, asthma, copd, ferric, carboxymaltose"
22,10,0.5521247862853157,0.09124338086075273,"minimization, evaluation, programs, implementation, program"
23,10,0.5403604116145757,0.07947900619001275,"errors, medication, error, paediatric, administrations"
