year,count,mean_score,std_score
2015,91,0.4613401264530469,0.10677133099176707
2016,94,0.4592102041533545,0.10456836180392193
2017,96,0.47290430855165616,0.12745148087613803
2018,101,0.46785826063230823,0.09454215120352212
2019,107,0.44741483535318227,0.10547658081824145
2020,104,0.45660117829341373,0.0984003342935558
2021,103,0.4737149403322542,0.08814892347597494
2022,101,0.46161239845911195,0.0922632678189569
2023,89,0.4571403764975333,0.10628613114452783
2024,92,0.45633473216166853,0.10083772670911449
2025,96,0.4556534459672405,0.10935150753330755
